Year,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season,Finals_Team,years_since_losing_season,consecutive_years_losing,consecutive_playoff_seasons
2020,Los Angeles Lakers,52,19,0.732,113.4,107.6,6.28,Y,N,Y,1,6,0
2020,Miami Heat,44,29,0.603,112.0,109.1,2.59,Y,N,Y,1,1,0
2019,Golden State Warriors,57,25,0.695,117.7,111.2,6.42,Y,N,Y,7,4,6
2019,Toronto Raptors,58,24,0.7070000000000001,114.4,108.4,5.49,Y,N,Y,6,5,5
2018,Cleveland Cavaliers,50,32,0.61,110.9,109.9,0.59,Y,N,Y,4,4,3
2018,Golden State Warriors,58,24,0.7070000000000001,113.5,107.5,5.79,Y,N,Y,6,4,5
2017,Cleveland Cavaliers,51,31,0.622,110.3,107.2,2.87,Y,N,Y,3,4,2
2017,Golden State Warriors,67,15,0.8170000000000001,115.9,104.3,11.35,Y,N,Y,5,4,4
2016,Cleveland Cavaliers,57,25,0.695,104.3,98.3,5.45,Y,N,Y,2,4,1
2016,Golden State Warriors,73,9,0.89,114.9,104.1,10.38,Y,N,Y,4,4,3
2015,Cleveland Cavaliers,53,29,0.6459999999999999,103.1,98.7,4.08,Y,N,Y,1,4,0
2015,Golden State Warriors,67,15,0.8170000000000001,110.0,99.9,10.01,Y,N,Y,3,4,2
2014,Miami Heat,54,28,0.659,102.2,97.4,4.15,Y,N,Y,6,1,5
2014,San Antonio Spurs,62,20,0.7559999999999999,105.4,97.6,8.0,Y,N,Y,17,1,16
2013,Miami Heat,66,16,0.805,102.9,95.0,7.03,Y,N,Y,5,1,4
2013,San Antonio Spurs,58,24,0.7070000000000001,103.0,96.6,6.67,Y,N,Y,16,1,15
2012,Miami Heat,46,20,0.6970000000000001,98.5,92.5,5.72,Y,N,Y,4,1,3
2012,Oklahoma City Thunder,47,19,0.7120000000000001,103.1,96.9,6.44,Y,N,Y,3,4,2
2011,Dallas Mavericks,57,25,0.695,100.2,96.0,4.41,Y,N,Y,11,10,10
2011,Miami Heat,58,24,0.7070000000000001,102.1,94.6,6.76,Y,N,Y,3,1,2
2010,Boston Celtics,50,32,0.61,99.2,95.6,3.37,Y,N,Y,3,2,2
2010,Los Angeles Lakers,57,25,0.695,101.7,97.0,4.78,Y,N,Y,5,1,4
2009,Los Angeles Lakers,65,17,0.7929999999999999,106.9,99.3,7.11,Y,N,Y,4,1,3
2009,Orlando Magic,59,23,0.72,101.0,94.4,6.48,Y,N,Y,2,4,2
2008,Boston Celtics,66,16,0.805,100.5,90.3,9.3,Y,N,Y,1,2,0
2008,Los Angeles Lakers,57,25,0.695,108.6,101.3,7.34,Y,N,Y,3,1,2
2007,Cleveland Cavaliers,50,32,0.61,96.8,92.9,3.33,Y,N,Y,3,6,1
2007,San Antonio Spurs,58,24,0.7070000000000001,98.5,90.1,8.35,Y,N,Y,10,1,9
2006,Dallas Mavericks,60,22,0.732,99.1,93.1,5.96,Y,N,Y,6,10,5
2006,Miami Heat,52,30,0.634,99.9,96.0,3.59,Y,N,Y,3,2,2
2005,Detroit Pistons,54,28,0.659,93.3,89.5,3.31,Y,N,Y,4,1,3
2005,San Antonio Spurs,59,23,0.72,96.2,88.4,7.84,Y,N,Y,8,1,7
2004,Detroit Pistons,54,28,0.659,90.1,84.3,5.04,Y,N,Y,3,1,2
2004,Los Angeles Lakers,56,26,0.6829999999999999,98.2,94.3,4.35,Y,N,Y,10,2,9
2003,Brooklyn Nets,49,33,0.598,95.4,90.1,4.42,Y,N,Y,2,3,1
2003,San Antonio Spurs,60,22,0.732,95.8,90.4,5.65,Y,N,Y,6,1,5
2002,Los Angeles Lakers,58,24,0.7070000000000001,101.3,94.1,7.15,Y,N,Y,8,2,7
2002,Brooklyn Nets,52,30,0.634,96.2,92.0,3.67,Y,N,Y,1,3,0
2001,Los Angeles Lakers,56,26,0.6829999999999999,100.6,97.2,3.74,Y,N,Y,7,2,6
2001,Philadelphia 76ers,56,26,0.6829999999999999,94.7,90.4,3.64,Y,N,Y,3,7,2
2000,Indiana Pacers,56,26,0.6829999999999999,101.3,96.7,4.15,Y,N,Y,3,1,2
2000,Los Angeles Lakers,67,15,0.8170000000000001,100.8,92.3,8.41,Y,N,Y,6,2,5
1999,New York Knicks,27,23,0.54,86.4,85.4,1.45,Y,N,Y,8,1,9
1999,San Antonio Spurs,37,13,0.74,92.8,84.7,7.12,Y,N,Y,2,1,1
