Year,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season,Finals_Team
2020,Atlanta Hawks,20,47,0.299,111.8,119.7,-7.71,N,Y,N
2020,Boston Celtics,48,24,0.667,113.7,107.3,5.83,Y,N,N
2020,Brooklyn Nets,35,37,0.486,111.8,112.3,-1.01,Y,Y,N
2020,Charlotte Hornets,23,42,0.354,102.9,109.6,-7.03,N,Y,N
2020,Chicago Bulls,22,43,0.338,106.8,109.9,-4,N,Y,N
2020,Cleveland Cavaliers,19,46,0.292,106.9,114.8,-7.77,N,Y,N
2020,Dallas Mavericks,43,32,0.573,117,112.1,4.87,Y,N,N
2020,Denver Nuggets,46,27,0.63,111.3,109.2,2.35,Y,N,N
2020,Detroit Pistons,20,46,0.303,107.2,110.8,-4.38,N,Y,N
2020,Golden State Warriors,15,50,0.231,106.3,115,-8.12,N,Y,N
2020,Houston Rockets,44,28,0.611,117.8,114.8,3.13,Y,N,N
2020,Indiana Pacers,45,28,0.616,109.4,107.5,1.63,Y,N,N
2020,Los Angeles Clippers,49,23,0.681,116.3,109.9,6.66,Y,N,N
2020,Los Angeles Lakers,52,19,0.732,113.4,107.6,6.28,Y,N,Y
2020,Memphis Grizzlies,34,39,0.466,112.6,113.7,-0.91,N,Y,N
2020,Miami Heat,44,29,0.603,112,109.1,2.59,Y,N,Y
2020,Milwaukee Bucks,56,17,0.767,118.7,108.6,9.41,Y,N,N
2020,Minnesota Timberwolves,19,45,0.297,113.3,117.5,-4.02,N,Y,N
2020,New Orleans Pelicans,30,42,0.417,115.8,117.1,-0.55,N,Y,N
2020,New York Knicks,21,45,0.318,105.8,112.3,-6.72,N,Y,N
2020,Oklahoma City Thunder,44,28,0.611,110.4,108.4,2.33,Y,N,N
2020,Orlando Magic,33,40,0.452,107.3,108.3,-0.93,Y,Y,N
2020,Philadelphia 76ers,43,30,0.589,110.7,108.4,2.25,Y,N,N
2020,Phoenix Suns,34,39,0.466,113.6,113.4,0.56,N,Y,N
2020,Portland Trail Blazers,35,39,0.473,115,116.1,-0.61,Y,Y,N
2020,Sacramento Kings,31,41,0.431,110.1,112.1,-1.59,N,Y,N
2020,San Antonio Spurs,32,39,0.451,114.1,115.2,-0.65,N,Y,N
2020,Toronto Raptors,53,19,0.736,112.8,106.5,5.97,Y,N,N
2020,Utah Jazz,44,28,0.611,111.3,108.8,2.52,Y,N,N
2020,Washington Wizards,25,47,0.347,114.4,119.1,-5.24,N,Y,N
2019,Atlanta Hawks,29,53,0.354,113.3,119.4,-6.06,N,Y,N
2019,Boston Celtics,49,33,0.598,112.4,108,3.9,Y,N,N
2019,Brooklyn Nets,42,40,0.512,112.2,112.3,-0.4,Y,N,N
2019,Charlotte Hornets,39,43,0.476,110.7,111.8,-1.32,N,Y,N
2019,Chicago Bulls,22,60,0.268,104.9,113.4,-8.32,N,Y,N
2019,Cleveland Cavaliers,19,63,0.232,104.5,114.1,-9.39,N,Y,N
2019,Dallas Mavericks,33,49,0.402,108.9,110.1,-0.87,N,Y,N
2019,Denver Nuggets,54,28,0.659,110.7,106.7,4.19,Y,N,N
2019,Detroit Pistons,41,41,0.5,107,107.3,-0.56,Y,N,N
2019,Golden State Warriors,57,25,0.695,117.7,111.2,6.42,Y,N,Y
2019,Houston Rockets,53,29,0.646,113.9,109.1,4.96,Y,N,N
2019,Indiana Pacers,48,34,0.585,108,104.7,2.76,Y,N,N
2019,Los Angeles Clippers,48,34,0.585,115.1,114.3,1.09,Y,N,N
2019,Los Angeles Lakers,37,45,0.451,111.8,113.5,-1.33,N,Y,N
2019,Memphis Grizzlies,33,49,0.402,103.5,106.1,-2.08,N,Y,N
2019,Miami Heat,39,43,0.476,105.7,105.9,-0.45,N,Y,N
2019,Milwaukee Bucks,60,22,0.732,118.1,109.3,8.04,Y,N,N
2019,Minnesota Timberwolves,36,46,0.439,112.5,114,-1.02,N,Y,N
2019,New Orleans Pelicans,33,49,0.402,115.4,116.8,-1.1,N,Y,N
2019,New York Knicks,17,65,0.207,104.6,113.8,-8.93,N,Y,N
2019,Oklahoma City Thunder,49,33,0.598,114.5,111.1,3.56,Y,N,N
2019,Orlando Magic,42,40,0.512,107.3,106.6,0.28,Y,N,N
2019,Philadelphia 76ers,51,31,0.622,115.2,112.5,2.25,Y,N,N
2019,Phoenix Suns,19,63,0.232,107.5,116.8,-8.61,N,Y,N
2019,Portland Trail Blazers,53,29,0.646,114.7,110.5,4.43,Y,N,N
2019,Sacramento Kings,39,43,0.476,114.2,115.3,-0.81,N,Y,N
2019,San Antonio Spurs,48,34,0.585,111.7,110,1.8,Y,N,N
2019,Toronto Raptors,58,24,0.707,114.4,108.4,5.49,Y,N,Y
2019,Utah Jazz,50,32,0.61,111.7,106.5,5.28,Y,N,N
2019,Washington Wizards,32,50,0.39,114,116.9,-3.3,N,Y,N
2018,Atlanta Hawks,24,58,0.293,103.4,108.8,-5.3,N,Y,N
2018,Boston Celtics,55,27,0.671,104,100.4,3.23,Y,N,N
2018,Brooklyn Nets,28,54,0.341,106.6,110.3,-3.67,N,Y,N
2018,Charlotte Hornets,36,46,0.439,108.2,108,0.07,N,Y,N
2018,Chicago Bulls,27,55,0.329,102.9,110,-6.84,N,Y,N
2018,Cleveland Cavaliers,50,32,0.61,110.9,109.9,0.59,Y,N,Y
2018,Dallas Mavericks,24,58,0.293,102.3,105.4,-2.7,N,Y,N
2018,Denver Nuggets,46,36,0.561,110,108.5,1.57,N,N,N
2018,Detroit Pistons,39,43,0.476,103.8,103.9,-0.26,N,Y,N
2018,Golden State Warriors,58,24,0.707,113.5,107.5,5.79,Y,N,Y
2018,Houston Rockets,65,17,0.793,112.4,103.9,8.21,Y,N,N
2018,Indiana Pacers,48,34,0.585,105.6,104.2,1.18,Y,N,N
2018,Los Angeles Clippers,42,40,0.512,109,109,0.15,N,N,N
2018,Los Angeles Lakers,35,47,0.427,108.1,109.6,-1.44,N,Y,N
2018,Memphis Grizzlies,22,60,0.268,99.3,105.5,-5.81,N,Y,N
